genre,movie,year,score,people
豆瓣电影标签：爱情,"
                        失恋33天
                        / 黄了一个来月(豆友译名) / Love is Not Blind
",2011,7.3,369331
豆瓣电影标签：爱情,"
                        当哈利遇到莎莉
                        / 90男欢女爱 / 当哈利遇到萨莉
",1989,8.2,84276
豆瓣电影标签：爱情,"
                        未知死亡
                        / 凶心人在宝莱坞 / 宝莱坞记忆拼图
",2008,8.0,51578
豆瓣电影标签：爱情,"
                        阿飞正传
                        / Days of Being Wild
",1990,8.5,166763
豆瓣电影标签：爱情,"
                        僵尸新娘
                        / 骷髅新娘 / 怪诞尸新娘
",2005,8.1,204341
豆瓣电影标签：爱情,"
                        初恋这首情歌
                        / 初恋无限JAM(港) / 摇滚青春恋习曲(台)
",2016,8.2,44976
豆瓣电影标签：爱情,"
                        我是你的眼
                        / Heartstrings
",2016,7.7,1105
豆瓣电影标签：爱情,"
                        美人鱼
                        / Mermaid
",2016,6.8,384704
豆瓣电影标签：爱情,"
                        禁止的爱：善良的小姨子
                        / Good Sister-in-law: Forbidden love / Nice Sister In Law
",2015,5.6,7316
豆瓣电影标签：爱情,"
                        音乐之声
                        / 仙乐飘飘处处闻(港) / 真善美(台)
",1965,8.9,224695
豆瓣电影标签：爱情,"
                        雏菊
                        / 爱无间 / 黛西
",2006,8.0,174533
豆瓣电影标签：爱情,"
                        胭脂扣
                        / Rouge
",1988,8.3,123305
豆瓣电影标签：爱情,"
                        乘风破浪
                        / Duckweed
",2017,6.8,268961
豆瓣电影标签：爱情,"
                        英国病人
                        / 英伦情人(台) / 别问我是谁(港)
",1997,8.4,165716
豆瓣电影标签：爱情,"
                        女人永远是对的
                        / 缘分天注定 / All My Goddess
",2017,4.0,258
豆瓣电影标签：爱情,"
                        午夜巴塞罗那
                        / 情迷巴塞隆拿(港) / 情遇巴塞隆纳(台)
",2008,7.8,157577
豆瓣电影标签：爱情,"
                        间谍同盟
                        / 同盟鹣鲽(台) / 伴谍同盟(港)
",2016,6.9,30556
豆瓣电影标签：爱情,"
                        你眼中的世界
                        / 烈眼焚情
",2014,7.5,35416
豆瓣电影标签：爱情,"
                        奇怪的搭档
                        / 奇怪的拍档 / 可疑罗曼史
",2017,7.6,3017
