time,score,people
2004,7.8,38930
2005,7.5,18997
2009,7.7,15970
2012,5.8,94877
2014,7.6,14072
2003,6.6,20886
2016,6.3,431
2017,6.6,26361
2010,7.3,15723
2014,7.3,36587
2015,6.2,26135
2012,8.9,47355
2015,5.8,39604
2012,8.7,21611
2017,3.8,893
2012,6.6,24198
2010,6.7,74931
2016,6.6,22843
2013,7.1,25123
2016,8.8,2948
2016,7.6,3025
2016,4.7,19416
2017,7.2,230
2015,7.1,7413
2017,2.0,358
2013,6.8,7353
2014,6.5,3804
2011,6.6,174976
2014,8.6,4958
2005,7.8,11489
1995,8.1,94928
2011,7.5,81721
1991,8.3,90867
1988,8.1,18134
2017,4.5,3585
1993,6.5,11481
2016,7.4,12237
2007,8.5,43411
2003,7.1,23253
2014,7.1,369028
2004,6.9,18851
2000,8.9,20249
2016,6.8,615
2005,8.9,39083
1996,8.4,25634
1997,7.3,13291
2007,7.2,11590
2008,9.3,12957
2016,4.5,12693
2015,6.7,8189
2004,5.9,54879
2008,9.3,99748
1997,8.7,76757
1990,7.5,12096
1998,8.6,12144
2014,7.6,16646
2004,7.3,32690
2005,6.9,56626
1996,8.2,4836
2013,8.0,4030
2011,6.2,35410
2013,8.9,39901
2000,8.5,9782
2008,6.9,61158
2011,8.3,36764
2015,3.6,409
2009,7.1,54511
2012,6.1,104646
2011,7.1,14609
2004,7.4,87013
2015,6.3,9847
2015,4.6,16549
2014,4.9,62188
2010,5.7,7430
2015,6.4,60006
2007,8.2,2221
2015,8.0,104517
2008,5.2,72558
2017,3.6,79
2013,7.1,9520
2007,7.7,22882
2009,7.3,30438
2015,6.5,9643
2014,7.0,30365
2016,9.3,252
2012,5.8,60958
2016,7.3,11169
2015,5.4,6376
2006,7.7,13696
2011,7.3,352
2012,7.4,2284
2017,7.1,256
2014,7.7,8969
2015,9.0,20540
2016,8.3,4538
2009,6.4,47743
2007,5.6,10642
2013,7.6,33027
2004,7.5,65633
2004,7.0,47187
1989,7.6,25403
1996,8.1,8840
1982,7.5,8402
1997,8.1,13284
2014,8.0,7082
2007,8.0,48961
2014,6.0,23254
2013,7.8,14743
1955,8.7,4097
1997,8.4,11336
1990,6.8,26096
2009,8.8,55496
1964,7.8,5459
2010,7.5,25934
2016,7.3,4555
2009,7.9,47143
2015,7.1,2541
2017,7.7,469
2011,4.7,85870
2010,7.0,27344
2011,4.9,47276
2010,7.7,124744
2016,4.8,9363
2003,6.6,30725
2006,7.2,31329
1997,7.3,19997
2004,6.7,44567
2004,6.8,75574
2012,7.5,7002
2006,8.0,16969
2016,7.4,9174
2014,8.5,78548
2014,9.1,24852
2012,5.9,43851
2014,8.2,8163
2008,7.2,12358
2017,,
2015,7.9,36332
2005,7.8,10163
2014,8.3,115199
2011,5.7,49789
2008,7.4,5534
2008,8.2,28655
2011,7.6,27857
2015,4.5,13718
2014,4.6,56671
2004,6.7,30290
2013,8.1,14350
2007,6.9,42949
2011,7.2,6488
1990,7.6,14668
1950,8.1,26727
2013,7.7,146581
1998,7.5,110356
1968,8.7,5489
2012,8.0,20235
2016,7.1,4730
2009,7.1,54761
2017,6.4,2951
2017,7.5,393
2005,7.3,7479
2007,7.5,15306
2008,6.0,108795
2014,7.8,6192
1966,8.4,4706
2016,4.2,3624
1990,7.4,16656
2014,5.5,9820
2015,7.7,6312
1997,7.7,20122
2015,6.5,7083
2014,7.3,12435
2017,9.1,635
2002,8.8,7890
2005,6.5,22326
2016,8.1,2293
2014,4.8,343
2015,8.7,9630
2013,7.3,134864
2005,8.1,6663
2002,7.0,34933
2016,6.8,15168
2015,7.2,20537
1999,6.4,35994
1997,8.6,16550
2016,3.7,16334
,8.3,10063
2008,7.5,29879
2015,7.3,6212
2009,8.5,39642
2014,7.3,6820
2016,7.5,3076
2014,7.5,10324
2016,3.9,9464
2012,8.3,7852
2013,8.3,2659
2006,5.5,11882
2016,3.4,4867
2005,9.3,30172
2006,6.7,47196
2010,6.6,35978
2009,7.0,26401
,8.3,9880
2014,8.2,19101
2015,4.7,31228
2015,8.2,383
2017,6.6,6928
2017,6.3,380
2017,7.6,108
2010,7.7,16242
2015,5.4,3798
2012,7.4,14793
2004,8.7,11831
2006,6.5,26394
2011,8.8,16963
2011,5.2,5610
1995,9.7,45042
2011,7.0,90746
2015,5.3,31002
2015,5.1,3408
2005,6.3,30625
2010,8.3,6035
2015,4.2,9538
2016,5.4,21056
2009,7.8,34142
2010,8.2,3656
2014,7.1,1357
2016,5.0,11218
2017,6.2,2865
2014,6.8,1741
1997,7.7,11507
2004,7.9,33281
2002,7.8,124947
2007,7.9,89607
,,
2011,8.7,8613
2017,8.3,2749
1966,8.1,6574
2017,6.6,888
2017,9.0,96
2016,7.8,2869
,8.1,5627
2016,6.2,2715
2012,7.8,39758
2014,5.9,15791
2004,7.1,14575
2012,8.0,19212
2017,,
1957,8.4,20662
2016,6.7,2905
1997,8.5,5744
2016,6.7,1904
1925,9.0,15083
